zts1e	Nouveau objet
zts2e	[n]
zts3e	Bâton de bois
zts4e	C'est la première arme qu'obtient l'aventurier qui arrive à NosVille.[n][n]
zts5e	Bâton en bois
zts6e	Donne plus de peine. [n][n]
zts7e	Épée en bois
zts8e	Fabriqué en bois dur[n][n]
zts9e	Marteau en bois
zts10e	Ce marteau est fait d'un bois particulièrement robuste.[n][n]
zts11e	Marteau en bois lourd
zts12e	Utilisé pour faire une pâte. Très lourd [n][n]
zts13e	Épée en bois d'apprenti
zts14e	C'est l'épée d'un apprenti aventurier.[n][n]
zts15e	Épée d'aventurier
zts16e	La première arme décente pour nouveaux aventuriers [n][n]
zts17e	Catapulte en bois
zts18e	C'est la première arme secondaire que reçoivent tous les Aventuriers arrivant à NosVille.[n][n]
zts19e	Catapulte en bois puissante
zts20e	Cette catapulte en bois robuste inflige plus de dégâts.[n][n]
zts21e	Catapulte en bois d'apprenti
zts22e	Utilisé pour tireur d'élite aventurier
zts23e	Catapulte en acier
zts24e	Fabriqué en acier, et cause plus de dégâts [n][n]
zts25e	Vêtements
zts26e	Ces vêtements sont faits pour les Aventuriers novices.[n][n]
zts27e	Tenue d'entraînement
zts28e	Cette tenue a été conçue pour l'entraînement des Aventuriers.[n][n]
zts29e	Tenue d'aventurier
zts30e	Cette tenue d'aventurier est très prisée. Elle protège des effets secondaires que provoque une renaissance. [n][n]
zts31e	Armure d'entraînement
zts32e	Cette armure d'entraînement pour Aventuriers est très confortable.[n][n]
zts33e	Set de manteaux de l'aventurier
zts34e	Tient les aventuriers chaud quand ils dorment dehors [n][n]
zts35e	Set de manteaux chaud
zts36e	Couvre le corps entier et est chaud. Basse probabilité de down-grade en temps de renaissance [n][n]
zts37e	Épée d'amateur
zts38e	C'est un cadeau pour les apprentis Épéistes.[n]Les Aventuriers ne peuvent pas s'en équiper.[n][n]
zts39e	Épée courte
zts40e	Cette épée est particulièrement appréciée des apprentis Épéistes.[n][n]
zts41e	Épée de peine
zts42e	Ramasse les armes de soldats vaincus, et les fait fondre pour obtenir une épée. Augmente la probabilité de coup crucial [n][n]
zts43e	Longue épée
zts44e	Cet objet est utilisé par les Épéistes.[n][n]
zts45e	Épée avec décoration en bronze
zts46e	Épée de peine décorée en bronze [n] Augmente la probabilité du coup crucial [n][n]
zts47e	Sabre
zts48e	Ce sabre est très apprécié des Épéistes.[n][n]
zts49e	Épée large de l'esprit
zts50e	Cette épée a retenu en elle l'esprit du soldat à qui elle appartenait.[n]Elle augmente la force d'attaque de l'élément Feu.[n][n]
zts51e	Fauchon
zts52e	A un long châssis, assez léger pour l´utiliser avec une main [n][n]
zts53e	Sabre en or
zts54e	Cette épée sertie d'or augmente la probabilité d'un coup critique de l'élément Feu.[n][n]
zts55e	Épée large
zts56e	Aux bords plus larges que la normale. [n][n]
zts57e	Épée longue du pouvoir
zts58e	Un pouvoir obscur augmente les dégâts.[n][n]
zts59e	Épée de Bester
zts60e	Longue épée avec une belle poignée. [n][n]
zts61e	Skyabona
zts62e	Protège le propriétaire avec pouvoir mystérieux [n][n]
zts63e	Épée claymore
zts64e	Seuls les meilleurs épéistes obtiennent cette épée.[n]La force d'attaque de l'élément Eau augmente.[n][n]
zts65e	Arc d'archer amateur
zts66e	Donné à l'archer débutant. [n] Les aventuriers ne peuvent pas s'en équiper. [n][n]
zts67e	Petit arc
zts68e	Fabriqué en bois. [n] Arc très puissant. [n][n]
zts69e	Arc de vitesse
zts70e	La vitesse de cet arc léger augmente considérablement la précision.[n][n]
zts71e	Arc en bambou
zts72e	Fabriqué en bambou. [n] Pas très durable [n][n]
zts73e	Arc magique
zts74e	Cet arc a été béni par des forces magiques.[n]L'objet augmente les dégâts et la précision.[n][n]
zts75e	Arc en bois de chêne
zts76e	Fabriqué en écorce de chêne pour une meilleure durabilité. [n] Très élastique. [n][n]
zts77e	Arc du vent
zts78e	Cet arc a été créé par un puissant mage du vent.[n]L'élément Eau renforce les attaques de cette arme.[n][n]
zts79e	Arc court avec décoration de cornes
zts80e	Décoré avec une corne de boeuf. [n] Très populaire entre archers [n][n]
zts81e	Arc avec poignée en cuir
